population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,166,Sub-Saharan Africa,1,Male,22,All ages,587,Diabetes mellitus,1,Number,1990,36575.8235560325,53217.5855380629,23954.4870196373
1,All Population,2,DALYs (Disability-Adjusted Life Years),166,Sub-Saharan Africa,1,Male,22,All ages,587,Diabetes mellitus,1,Number,1990,1613045.15853894,2147345.43565944,1206553.67731407
1,All Population,3,YLDs (Years Lived with Disability),166,Sub-Saharan Africa,1,Male,22,All ages,587,Diabetes mellitus,1,Number,1990,431385.731251097,591318.806070024,297086.310875612
1,All Population,4,YLLs (Years of Life Lost),166,Sub-Saharan Africa,1,Male,22,All ages,587,Diabetes mellitus,1,Number,1990,1181659.42728784,1699795.51445823,823022.075058377
1,All Population,5,Prevalence,166,Sub-Saharan Africa,1,Male,22,All ages,587,Diabetes mellitus,1,Number,1990,4944088.79744715,5402830.64923126,4467003.7665259
1,All Population,6,Incidence,166,Sub-Saharan Africa,1,Male,22,All ages,587,Diabetes mellitus,1,Number,1990,301907.145115522,327878.334989856,276497.078304712
1,All Population,1,Deaths,166,Sub-Saharan Africa,1,Male,22,All ages,975,Diabetes mellitus type 1,1,Number,1990,3294.3563951903,4984.58367325282,1985.92953253179
1,All Population,2,DALYs (Disability-Adjusted Life Years),166,Sub-Saharan Africa,1,Male,22,All ages,975,Diabetes mellitus type 1,1,Number,1990,256718.475950655,396466.545313552,152869.830705614
1,All Population,3,YLDs (Years Lived with Disability),166,Sub-Saharan Africa,1,Male,22,All ages,975,Diabetes mellitus type 1,1,Number,1990,2314.64926760427,3812.08861186868,1376.26559204874
1,All Population,4,YLLs (Years of Life Lost),166,Sub-Saharan Africa,1,Male,22,All ages,975,Diabetes mellitus type 1,1,Number,1990,254403.82668305,394090.965905932,151231.964650054
1,All Population,5,Prevalence,166,Sub-Saharan Africa,1,Male,22,All ages,975,Diabetes mellitus type 1,1,Number,1990,31509.2059446984,41266.5448422273,21872.6689385918
1,All Population,6,Incidence,166,Sub-Saharan Africa,1,Male,22,All ages,975,Diabetes mellitus type 1,1,Number,1990,1663.03091150884,2109.50679376456,1289.99237564348
1,All Population,1,Deaths,166,Sub-Saharan Africa,1,Male,22,All ages,976,Diabetes mellitus type 2,1,Number,1990,33281.4671608422,49105.4802792468,21114.2925860488
1,All Population,2,DALYs (Disability-Adjusted Life Years),166,Sub-Saharan Africa,1,Male,22,All ages,976,Diabetes mellitus type 2,1,Number,1990,1356326.68258829,1842757.80186202,985221.260783846
1,All Population,3,YLDs (Years Lived with Disability),166,Sub-Saharan Africa,1,Male,22,All ages,976,Diabetes mellitus type 2,1,Number,1990,429071.081983493,587552.45232995,295402.172463067
1,All Population,4,YLLs (Years of Life Lost),166,Sub-Saharan Africa,1,Male,22,All ages,976,Diabetes mellitus type 2,1,Number,1990,927255.600604794,1365748.80975595,583682.208980465
1,All Population,5,Prevalence,166,Sub-Saharan Africa,1,Male,22,All ages,976,Diabetes mellitus type 2,1,Number,1990,4912579.59150245,5374874.25782607,4434091.43297966
1,All Population,6,Incidence,166,Sub-Saharan Africa,1,Male,22,All ages,976,Diabetes mellitus type 2,1,Number,1990,300244.114204013,326306.712678923,274815.582086661
1,All Population,1,Deaths,166,Sub-Saharan Africa,2,Female,22,All ages,587,Diabetes mellitus,1,Number,1990,31370.78888018,42971.046624299,21958.548070283
1,All Population,2,DALYs (Disability-Adjusted Life Years),166,Sub-Saharan Africa,2,Female,22,All ages,587,Diabetes mellitus,1,Number,1990,1290490.00638506,1667819.50598447,976876.660458192
1,All Population,3,YLDs (Years Lived with Disability),166,Sub-Saharan Africa,2,Female,22,All ages,587,Diabetes mellitus,1,Number,1990,389900.84191972,530274.843855455,270676.177593534
