location_name,sex_name,cause_name,measure_name,annual_drift_pct,lower_95,upper_95,p_value
Central Sub-Saharan Africa,Both,Diabetes mellitus,Deaths,0.5598336051403585,0.5156786462156004,0.6040079606450588,1.4668231217349223e-100
Central Sub-Saharan Africa,Both,Diabetes mellitus,Incidence,0.6117601526270056,0.5846282654036861,0.6388993584567126,2.4609016294122178e-220
Central Sub-Saharan Africa,Both,Diabetes mellitus type 1,Deaths,-1.201426629907243,-1.2617015180271918,-1.1411149469245818,2.364258283485147e-182
Central Sub-Saharan Africa,Both,Diabetes mellitus type 1,Incidence,0.8333252736570707,0.7674699876877078,0.8992235985028962,1.8502618036872333e-102
Central Sub-Saharan Africa,Both,Diabetes mellitus type 2,Deaths,0.682765373557026,0.6496900271456996,0.7158515891378725,6.091934202625222e-169
Central Sub-Saharan Africa,Both,Diabetes mellitus type 2,Incidence,0.6108339039803568,0.5838026671560526,0.6378724052721774,6.862846004479078e-221
Central Sub-Saharan Africa,Female,Diabetes mellitus,Deaths,0.4359447977395403,0.3950702633111369,0.47683597369783115,3.2749298866608873e-77
Central Sub-Saharan Africa,Female,Diabetes mellitus,Incidence,0.5721795791459705,0.5472747328285399,0.5970905942170646,4.790636993673833e-225
Central Sub-Saharan Africa,Female,Diabetes mellitus type 1,Deaths,-1.1840876437185899,-1.252140466511309,-1.1159879218162416,5.7714751996586405e-154
Central Sub-Saharan Africa,Female,Diabetes mellitus type 1,Incidence,0.8013803459240298,0.7352993469188274,0.8675046931741814,4.722994417423948e-96
Central Sub-Saharan Africa,Female,Diabetes mellitus type 2,Deaths,0.5218755627774296,0.4873139173100727,0.5564490953904544,5.898190306208129e-117
Central Sub-Saharan Africa,Female,Diabetes mellitus type 2,Incidence,0.5711086070068871,0.5463537608829006,0.5958695478561982,4.145901663915123e-226
Central Sub-Saharan Africa,Male,Diabetes mellitus,Deaths,0.6659141814044256,0.6163143144911842,0.7155384990920055,2.1044014834663678e-109
Central Sub-Saharan Africa,Male,Diabetes mellitus,Incidence,0.6313147994203572,0.601805797919619,0.6608324566421464,2.5704423764813782e-207
Central Sub-Saharan Africa,Male,Diabetes mellitus type 1,Deaths,-1.2119029761167521,-1.2705996024345856,-1.1531714534668502,3.7627816680529244e-190
Central Sub-Saharan Africa,Male,Diabetes mellitus type 1,Incidence,0.8654570584897714,0.7997700069082514,0.9311869156128916,7.635717420889888e-109
Central Sub-Saharan Africa,Male,Diabetes mellitus type 2,Deaths,0.8162028567819002,0.7795623906598603,0.8528566442929986,3.7481601618130188e-183
Central Sub-Saharan Africa,Male,Diabetes mellitus type 2,Incidence,0.6304297419861715,0.6009908577160772,0.659877240961726,1.487656777374639e-207
Eastern Sub-Saharan Africa,Both,Diabetes mellitus,Deaths,-0.16915034690271336,-0.21725151210919558,-0.12102599409988812,1.2135532977058714e-11
Eastern Sub-Saharan Africa,Both,Diabetes mellitus,Incidence,0.3548979134914365,0.3327041115523732,0.37709662474545436,6.516400752968735e-143
Eastern Sub-Saharan Africa,Both,Diabetes mellitus type 1,Deaths,-2.182754675629195,-2.2396599034055553,-2.125816323940366,0
Eastern Sub-Saharan Africa,Both,Diabetes mellitus type 1,Incidence,1.9976919082426159,1.8979967125262176,2.0974846439732575,3.717529501588279e-193
Eastern Sub-Saharan Africa,Both,Diabetes mellitus type 2,Deaths,-0.03704628435512447,-0.07210966029269628,-0.0019706051423873383,0.03890125544102324
Eastern Sub-Saharan Africa,Both,Diabetes mellitus type 2,Incidence,0.3318637944699443,0.3176821471798208,0.34604744658228714,1.8280342082846303e-229
Eastern Sub-Saharan Africa,Female,Diabetes mellitus,Deaths,-0.36392709685820757,-0.40789691604884437,-0.31993786503404786,7.507889021461667e-51
Eastern Sub-Saharan Africa,Female,Diabetes mellitus,Incidence,0.4014579921779893,0.3784387306453585,0.4244825325973034,1.5032399797499673e-160
Eastern Sub-Saharan Africa,Female,Diabetes mellitus type 1,Deaths,-2.4688399276976747,-2.520756454297146,-2.416895750845327,0
Eastern Sub-Saharan Africa,Female,Diabetes mellitus type 1,Incidence,1.9354288209331827,1.8349952233082556,2.0359614700433903,4.884579005722561e-184
Eastern Sub-Saharan Africa,Female,Diabetes mellitus type 2,Deaths,-0.2479365544301393,-0.27948989672875735,-0.2163732280930475,8.820657815082092e-45
Eastern Sub-Saharan Africa,Female,Diabetes mellitus type 2,Incidence,0.3777196713489639,0.3624992179390496,0.39294243301351006,6.8235129165087305e-245
Eastern Sub-Saharan Africa,Male,Diabetes mellitus,Deaths,-0.0032438424874658978,-0.05775060392264608,0.05129264598566774,0.9071991030391497
Eastern Sub-Saharan Africa,Male,Diabetes mellitus,Incidence,0.3367736980125047,0.31545911138952665,0.3580928134648831,1.440773209827955e-140
Eastern Sub-Saharan Africa,Male,Diabetes mellitus type 1,Deaths,-2.030101855130384,-2.0912329672480467,-1.9689325746956032,1.288639490400334e-309
Eastern Sub-Saharan Africa,Male,Diabetes mellitus type 1,Incidence,2.0627712640091556,1.9636986521301525,2.161940139387375,2.358074341521524e-202
Eastern Sub-Saharan Africa,Male,Diabetes mellitus type 2,Deaths,0.14569351538109565,0.10329409965181835,0.18811088966477207,3.9852598467923216e-11
Eastern Sub-Saharan Africa,Male,Diabetes mellitus type 2,Incidence,0.3147356020721137,0.3015619922992485,0.32791094206721105,8.153401278912507e-235
Southern Sub-Saharan Africa,Both,Diabetes mellitus,Deaths,1.0469323818387943,0.9593327833752774,1.1346079880317772,2.2368177537588558e-92
Southern Sub-Saharan Africa,Both,Diabetes mellitus,Incidence,0.8114953930295155,0.7737596860383444,0.8492452305204123,8.665604349523372e-209
Southern Sub-Saharan Africa,Both,Diabetes mellitus type 1,Deaths,-0.056947307586874274,-0.16281327205597274,0.049030915678782705,0.29246474758180535
Southern Sub-Saharan Africa,Both,Diabetes mellitus type 1,Incidence,0.5687267002006946,0.5168077323364217,0.6206724852638512,6.799115134217744e-82
Southern Sub-Saharan Africa,Both,Diabetes mellitus type 2,Deaths,1.0607988457087547,0.9596117766871304,1.1620873297691015,7.659150366656538e-71
Southern Sub-Saharan Africa,Both,Diabetes mellitus type 2,Incidence,0.8121237338563736,0.7743521395063624,0.8499094855123568,9.558090007348852e-209
Southern Sub-Saharan Africa,Female,Diabetes mellitus,Deaths,0.8118329467100782,0.7154530064146458,0.9083051180645674,7.515893134961489e-53
Southern Sub-Saharan Africa,Female,Diabetes mellitus,Incidence,0.6441430687691652,0.6065659143776436,0.6817342584527264,3.500704328618616e-157
Southern Sub-Saharan Africa,Female,Diabetes mellitus type 1,Deaths,-0.13659969345748424,-0.26243368048315396,-0.010606947872981998,0.03391841502982319
Southern Sub-Saharan Africa,Female,Diabetes mellitus type 1,Incidence,0.5370285839360944,0.48485749877276163,0.5892267559878706,3.667896433683706e-74
Southern Sub-Saharan Africa,Female,Diabetes mellitus type 2,Deaths,0.8217772791229372,0.7103047890782532,0.9333731539201917,1.1009285757248263e-40
Southern Sub-Saharan Africa,Female,Diabetes mellitus type 2,Incidence,0.6444254346679168,0.6068226539105437,0.6820422698311734,3.930274009736502e-157
Southern Sub-Saharan Africa,Male,Diabetes mellitus,Deaths,1.37532942872165,1.2913278163245057,1.4594007042482815,1.3432359759995435e-144
