location_name,sex_name,rows,measures,causes,ages,years
Central Sub-Saharan Africa,Both,14484,6,3,25,34
Central Sub-Saharan Africa,Female,14484,6,3,25,34
Central Sub-Saharan Africa,Male,14484,6,3,25,34
Eastern Sub-Saharan Africa,Both,14484,6,3,25,34
Eastern Sub-Saharan Africa,Female,14484,6,3,25,34
Eastern Sub-Saharan Africa,Male,14484,6,3,25,34
Southern Sub-Saharan Africa,Both,14484,6,3,25,34
Southern Sub-Saharan Africa,Female,14484,6,3,25,34
Southern Sub-Saharan Africa,Male,14484,6,3,25,34
Sub-Saharan Africa,Both,14484,6,3,25,34
Sub-Saharan Africa,Female,14484,6,3,25,34
Sub-Saharan Africa,Male,14484,6,3,25,34
Western Sub-Saharan Africa,Both,14484,6,3,25,34
Western Sub-Saharan Africa,Female,14484,6,3,25,34
Western Sub-Saharan Africa,Male,14484,6,3,25,34
