location_name,sex_name,cause_name,measure_name,age_id,age_name,rate_1990,rate_2023,absolute_change,relative_change_pct
Sub-Saharan Africa,Male,Diabetes mellitus,DALYs (Disability-Adjusted Life Years),2,0-6 days,4.72894153734422e-5,4.74810437293362e-5,1.916283558940014e-7,0.40522462453960184
Sub-Saharan Africa,Male,Diabetes mellitus,YLDs (Years Lived with Disability),2,0-6 days,4.728942e-5,4.748104e-5,1.9161999999999462e-7,0.4052069152042703
Sub-Saharan Africa,Male,Diabetes mellitus,Prevalence,2,0-6 days,9.654395e-4,9.692185e-4,3.779000000000087e-6,0.39142794551083604
Sub-Saharan Africa,Male,Diabetes mellitus,Incidence,2,0-6 days,0.10136521321,0.1021536232,7.884099900000024e-4,0.7777914779961481
Sub-Saharan Africa,Male,Diabetes mellitus type 1,DALYs (Disability-Adjusted Life Years),2,0-6 days,4.72894153734422e-5,4.74810437293362e-5,1.916283558940014e-7,0.40522462453960184
Sub-Saharan Africa,Male,Diabetes mellitus type 1,YLDs (Years Lived with Disability),2,0-6 days,4.728942e-5,4.748104e-5,1.9161999999999462e-7,0.4052069152042703
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Prevalence,2,0-6 days,9.654395e-4,9.692185e-4,3.779000000000087e-6,0.39142794551083604
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Incidence,2,0-6 days,0.10136521321,0.1021536232,7.884099900000024e-4,0.7777914779961481
Sub-Saharan Africa,Male,Diabetes mellitus type 2,DALYs (Disability-Adjusted Life Years),2,0-6 days,0,0,0,NA
Sub-Saharan Africa,Male,Diabetes mellitus type 2,YLDs (Years Lived with Disability),2,0-6 days,0,0,0,NA
Sub-Saharan Africa,Male,Diabetes mellitus type 2,Prevalence,2,0-6 days,0,0,0,NA
Sub-Saharan Africa,Male,Diabetes mellitus type 2,Incidence,2,0-6 days,0,0,0,NA
Sub-Saharan Africa,Male,Diabetes mellitus,DALYs (Disability-Adjusted Life Years),3,7-27 days,2.4287616474292e-4,2.476764911755e-4,4.800326432580004e-6,1.9764501953746905
Sub-Saharan Africa,Male,Diabetes mellitus,YLDs (Years Lived with Disability),3,7-27 days,2.4287616e-4,2.4767649e-4,4.800329999999991e-6,1.9764517027937245
Sub-Saharan Africa,Male,Diabetes mellitus,Prevalence,3,7-27 days,0.00495792162,0.00505260292,9.468129999999977e-5,1.9096973945304185
Sub-Saharan Africa,Male,Diabetes mellitus,Incidence,3,7-27 days,0.10682729907,0.11077762185,0.003950322779999987,3.697858894112338
Sub-Saharan Africa,Male,Diabetes mellitus type 1,DALYs (Disability-Adjusted Life Years),3,7-27 days,2.4287616474292e-4,2.476764911755e-4,4.800326432580004e-6,1.9764501953746905
Sub-Saharan Africa,Male,Diabetes mellitus type 1,YLDs (Years Lived with Disability),3,7-27 days,2.4287616e-4,2.4767649e-4,4.800329999999991e-6,1.9764517027937245
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Prevalence,3,7-27 days,0.00495792162,0.00505260292,9.468129999999977e-5,1.9096973945304185
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Incidence,3,7-27 days,0.10682729907,0.11077762185,0.003950322779999987,3.697858894112338
Sub-Saharan Africa,Male,Diabetes mellitus type 2,DALYs (Disability-Adjusted Life Years),3,7-27 days,0,0,0,NA
Sub-Saharan Africa,Male,Diabetes mellitus type 2,YLDs (Years Lived with Disability),3,7-27 days,0,0,0,NA
Sub-Saharan Africa,Male,Diabetes mellitus type 2,Prevalence,3,7-27 days,0,0,0,NA
Sub-Saharan Africa,Male,Diabetes mellitus type 2,Incidence,3,7-27 days,0,0,0,NA
Sub-Saharan Africa,Male,Diabetes mellitus,Deaths,6,5-9 years,1.44897728927212,0.612179055648147,-0.836798233623973,-57.75095578235947
Sub-Saharan Africa,Male,Diabetes mellitus,DALYs (Disability-Adjusted Life Years),6,5-9 years,120.752724376612,51.2176399466889,-69.5350844299231,-57.584692013285135
Sub-Saharan Africa,Male,Diabetes mellitus,YLDs (Years Lived with Disability),6,5-9 years,0.22016370135,0.35760079603,0.13743709468,62.424956447072375
Sub-Saharan Africa,Male,Diabetes mellitus,YLLs (Years of Life Lost),6,5-9 years,120.532560675262,50.8600391506624,-69.6725215245996,-57.80390056783978
Sub-Saharan Africa,Male,Diabetes mellitus,Prevalence,6,5-9 years,4.48507929826,7.4052018639,2.9201225656400007,65.10749022370399
Sub-Saharan Africa,Male,Diabetes mellitus,Incidence,6,5-9 years,0.97094090472,2.15835991314,1.18741900842,122.29570333762258
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Deaths,6,5-9 years,1.44897728927212,0.612179055648147,-0.836798233623973,-57.75095578235947
Sub-Saharan Africa,Male,Diabetes mellitus type 1,DALYs (Disability-Adjusted Life Years),6,5-9 years,120.752724376612,51.2176399466889,-69.5350844299231,-57.584692013285135
Sub-Saharan Africa,Male,Diabetes mellitus type 1,YLDs (Years Lived with Disability),6,5-9 years,0.22016370135,0.35760079603,0.13743709468,62.424956447072375
Sub-Saharan Africa,Male,Diabetes mellitus type 1,YLLs (Years of Life Lost),6,5-9 years,120.532560675262,50.8600391506624,-69.6725215245996,-57.80390056783978
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Prevalence,6,5-9 years,4.48507929826,7.4052018639,2.9201225656400007,65.10749022370399
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Incidence,6,5-9 years,0.97094090472,2.15835991314,1.18741900842,122.29570333762258
Sub-Saharan Africa,Male,Diabetes mellitus type 2,DALYs (Disability-Adjusted Life Years),6,5-9 years,0,0,0,NA
Sub-Saharan Africa,Male,Diabetes mellitus type 2,YLDs (Years Lived with Disability),6,5-9 years,0,0,0,NA
Sub-Saharan Africa,Male,Diabetes mellitus type 2,Prevalence,6,5-9 years,0,0,0,NA
Sub-Saharan Africa,Male,Diabetes mellitus type 2,Incidence,6,5-9 years,0,0,0,NA
Sub-Saharan Africa,Male,Diabetes mellitus,Deaths,7,10-14 years,1.48952713612049,0.78849012712092,-0.70103700899957,-47.06439996960633
Sub-Saharan Africa,Male,Diabetes mellitus,DALYs (Disability-Adjusted Life Years),7,10-14 years,116.430577799956,62.1242666781913,-54.3063111217647,-46.642653629247235
Sub-Saharan Africa,Male,Diabetes mellitus,YLDs (Years Lived with Disability),7,10-14 years,0.48413842501,0.88420410127,0.40006567626000006,82.63456391666011
Sub-Saharan Africa,Male,Diabetes mellitus,YLLs (Years of Life Lost),7,10-14 years,115.946439374948,61.2400625769218,-54.7063767980262,-47.18245518615413
Sub-Saharan Africa,Male,Diabetes mellitus,Prevalence,7,10-14 years,9.70971614472,17.91432366155,8.20460751683,84.49894306427841
Sub-Saharan Africa,Male,Diabetes mellitus,Incidence,7,10-14 years,0.98895824193,2.00139160741,1.01243336548,102.37372242372813
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Deaths,7,10-14 years,1.48952713612049,0.78849012712092,-0.70103700899957,-47.06439996960633
Sub-Saharan Africa,Male,Diabetes mellitus type 1,DALYs (Disability-Adjusted Life Years),7,10-14 years,116.430577799956,62.1242666781913,-54.3063111217647,-46.642653629247235
Sub-Saharan Africa,Male,Diabetes mellitus type 1,YLDs (Years Lived with Disability),7,10-14 years,0.48413842501,0.88420410127,0.40006567626000006,82.63456391666011
Sub-Saharan Africa,Male,Diabetes mellitus type 1,YLLs (Years of Life Lost),7,10-14 years,115.946439374948,61.2400625769218,-54.7063767980262,-47.18245518615413
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Prevalence,7,10-14 years,9.70971614472,17.91432366155,8.20460751683,84.49894306427841
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Incidence,7,10-14 years,0.98895824193,2.00139160741,1.01243336548,102.37372242372813
Sub-Saharan Africa,Male,Diabetes mellitus type 2,DALYs (Disability-Adjusted Life Years),7,10-14 years,0,0,0,NA
Sub-Saharan Africa,Male,Diabetes mellitus type 2,YLDs (Years Lived with Disability),7,10-14 years,0,0,0,NA
Sub-Saharan Africa,Male,Diabetes mellitus type 2,Prevalence,7,10-14 years,0,0,0,NA
Sub-Saharan Africa,Male,Diabetes mellitus type 2,Incidence,7,10-14 years,0,0,0,NA
