location_name,measure_name,cause_name,sex_name,metric_name,annual_change_pct,lower_ci,upper_ci,p_value,adjusted_r_squared
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus,Both,Rate,0.6562730734155142,0.6368970655999506,0.6756528117681793,1.9854958655263128e-36,0.9931565917672602
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus,Female,Rate,0.6461958353366937,0.6168194690260975,0.6755807784528667,1.724607143510636e-30,0.9839182566496573
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus,Male,Rate,0.6768743117796738,0.6599542279535298,0.6937972397282444,9.904737766909048e-39,0.9950861731101784
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Both,Rate,0.6401002245701948,0.6139482775763261,0.6662589690741738,5.92994480548111e-32,0.9869715129173721
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Female,Rate,0.633558806432144,0.6082706762185142,0.6588532928779589,2.8397542889393946e-32,0.98755726906542
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Male,Rate,0.6468952470068956,0.6198346992285497,0.6739630724084789,1.2486031738784535e-31,0.9863511183314071
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Both,Rate,0.6563197080317718,0.6368759472009655,0.6757672255355951,2.2135371209956156e-36,0.9931099403731847
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Female,Rate,0.6462375691582922,0.6167297879785094,0.6757540040594812,1.9810742222580253e-30,0.9837783686103517
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Male,Rate,0.6769500942062523,0.6599809927526401,0.6939220562843129,1.0822031836221664e-38,0.9950589001831769
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Both,Rate,0.47049524704141366,0.44981264349417405,0.49118210913405846,6.140553012475481e-31,0.98492297747543045
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Female,Rate,0.47186008758013376,0.441541280779556,0.5021880462718009,8.969822112307892e-26,0.9683122542395837
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Male,Rate,0.4532665609994213,0.4342682142688403,0.47226850149519883,1.368433938758347e-31,0.9862727498395505
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Both,Rate,0.6756336407484964,0.5739311903370181,0.7774389347924515,8.02671996255373e-15,0.847335860568164
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Female,Rate,0.651449364391854,0.5470440473646532,0.7559630930618289,4.4168322712462114e-14,0.8302637379580047
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Male,Rate,0.6998283738090416,0.6007468425431206,0.7990074903329702,1.4700478720928721e-15,0.8626336978668021
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Both,Rate,0.47000711446287813,0.4494707265095155,0.49054770097722855,5.072794486354771e-31,0.9851018337481541
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Female,Rate,0.4713640457718826,0.4412267682911919,0.5015103659089082,7.691424606584078e-26,0.9686150354927877
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Male,Rate,0.452758423749966,0.4338789460193615,0.47164145042919436,1.1628752725759793e-31,0.9864116375820338
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Both,Rate,0.612947068782943,0.5121967813539463,0.7137983451539931,8.733020421490937e-14,0.822919886156936
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Female,Rate,0.4843824163324184,0.38731855459661624,0.5815401285006461,1.4461760296528374e-11,0.7568655107897808
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Male,Rate,0.8427526778409078,0.744134762721349,0.9414671295301158,6.3299958329371505e-18,0.9021505293002641
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Both,Rate,-0.9597571194315702,-1.0536540125693716,-0.8657711211686347,4.218222233405541e-20,0.928403141645265
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Female,Rate,-0.9249170950668795,-1.0244937226999373,-0.825240286033968,7.165358506599119e-19,0.9145737883266524
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Male,Rate,-0.9726115448656314,-1.0693210962243183,-0.8758074552158157,6.855247458862022e-20,0.9262018277534576
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Both,Rate,0.6511731864327297,0.5502907434116411,0.7521568451463345,1.7659385602341785e-14,0.8396649691933857
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Female,Rate,0.5138326652460057,0.41670138083695907,0.6110579030142338,3.3533286717571425e-12,0.7779214133839416
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Male,Rate,0.887627653263956,0.7890675045454598,0.9862841825042601,1.3598842282728676e-18,0.9110930348816915
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Both,Rate,0.5953564622508178,0.5290007198049951,0.6617560038443937,1.576610407283184e-18,0.9102698111659395
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Female,Rate,0.5219556131823566,0.46320324291955206,0.5807423427020897,2.1255378171096275e-18,0.9085834498179681
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Male,Rate,0.6899946307327376,0.6212221358380177,0.7588141301852591,5.719360950319726e-20,0.9270308329686944
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Both,Rate,-1.078087228829916,-1.1667143000522073,-0.9893806827859786,2.2557713806056503e-22,0.948338613889963
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Female,Rate,-1.0279834995201242,-1.1222040383658038,-0.9336731780305807,6.034131400993438e-21,0.9365809429328117
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Male,Rate,-1.0999912928906674,-1.1915388890449408,-1.008358876446036,3.2929675266746583e-22,0.9471045554254739
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Both,Rate,0.6628353210077265,0.5974349124561629,0.7282782476756289,4.244530566054598e-20,0.9283753750326298
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Female,Rate,0.5706715430900511,0.512907881109248,0.6284684012116681,9.198951110059401e-20,0.9248360411656981
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Male,Rate,0.7692316011912004,0.7014799841368768,0.8370288013056282,1.3769001566649015e-21,0.942165629907064
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus,Both,Rate,0.5598305233653011,0.4493216702790237,0.6704609522512728,9.891426813769071e-12,0.7625203972396797
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus,Female,Rate,0.4228799332125499,0.3107779768568797,0.5351071687144326,8.98788915514863e-9,0.6382588604764934
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus,Male,Rate,0.6990208722437607,0.5924289396924687,0.8057257540518226,1.1402306738563e-14,0.8439668672561786
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 1,Both,Rate,-1.1211067365590743,-1.2120463211411359,-1.0300834372351297,1.5116481350661648e-22,0.9496131343824372
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 1,Female,Rate,-1.0986280343759813,-1.1969346704137296,-1.0002235856372055,2.9606005964321957e-21,0.9393363152716865
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 1,Male,Rate,-1.1309158103440353,-1.224165967715296,-1.0375776193769504,2.4941509569786183e-22,0.9480137419938222
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 2,Both,Rate,0.6707555354770633,0.5588847553654075,0.7827507707422576,1.2789293535705577e-13,0.8186732147327107
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 2,Female,Rate,0.5077621876077743,0.3944104741677501,0.6212418823854149,1.939034338661419e-10,0.7144950999404254
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 2,Male,Rate,0.8239050941068138,0.7164930163151562,0.9314317246803538,1.4187474311976547e-16,0.8812380816838539
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus,Both,Rate,0.6510123606160878,0.6336234198858204,0.6684043060603662,8.210245103511067e-38,0.9943918672885739
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus,Female,Rate,0.6438289148445353,0.6169644838950994,0.6707005185172976,1.1534918613004668e-31,0.9864185138469823
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus,Male,Rate,0.672629326895291,0.6570441796623028,0.6882168872412109,8.828159191942697e-40,0.9957752100489037
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 1,Both,Rate,0.5427262777870423,0.516079197875996,0.5693804219098375,1.9767495032018595e-29,0.9812714716767255
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 1,Female,Rate,0.5508331155817281,0.5236126825296727,0.5780609195584541,2.4190592286545753e-29,0.9810337450265281
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 1,Male,Rate,0.5318603274948819,0.5019458741195582,0.5617836849218794,1.4035645887881444e-27,0.9755580134213382
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 2,Both,Rate,0.6512861819961913,0.6338433416790856,0.6687320456766788,8.939447609282533e-38,0.9943619675640515
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 2,Female,Rate,0.6440960289457065,0.6171226892895509,0.6710765995883383,1.2936542063362644e-31,0.986320859832949
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 2,Male,Rate,0.6729420305540357,0.6573104283448261,0.6885760602768132,9.563483028650642e-40,0.9957540343229763
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus,Both,Rate,0.44644888665783533,0.43966705717566334,0.4532311740587991,1.2855990225889226e-45,0.9981759482663776
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus,Female,Rate,0.4860003546573344,0.47527794765571674,0.4967239059206374,1.9055062290977285e-40,0.9961612159294871
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus,Male,Rate,0.4262191544226468,0.41755792005535586,0.43488113584035926,1.3967284444581474e-41,0.9967396087282774
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Both,Rate,0.8789168299959016,0.8058409224431573,0.9520457115451686,2.356291933135449e-22,0.9481978720626107
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Female,Rate,0.88040039649524,0.8086520550349752,0.9521998032599122,1.2797421693612657e-22,0.9501341079084755
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Male,Rate,0.8775942470538478,0.8031965919488071,0.9520468112418801,4.256357814415562e-22,0.9462506992053086
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Both,Rate,0.44247333430180724,0.4356800607585809,0.44926706732879573,1.8066100889084178e-45,0.9981367479988954
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Female,Rate,0.4820681698720186,0.47095011173263757,0.4931874583293805,7.842465375930304e-40,0.9958063526026382
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Male,Rate,0.4224041325272543,0.41408869096795087,0.4307202627007678,5.074506864155552e-42,0.9969395180545295
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus,Both,Rate,0.2792677655568676,0.2676398225471388,0.29089705704810065,1.139275976158287e-31,0.9864290319695864
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus,Female,Rate,0.31637990730151166,0.3072298043241384,0.32553084495834383,1.08521249060383e-36,0.9934101053799939
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus,Male,Rate,0.28275643841617626,0.2681405270230197,0.29737448034519165,1.0340258614651619e-28,0.9792322635914855
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Both,Rate,1.59860838306205,1.5482778892568883,1.648963822229721,1.326676020581029e-35,0.9922942008045073
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Female,Rate,1.574719704644889,1.5193313559551225,1.6301382728911795,4.490194841519861e-34,0.9903974235218905
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Male,Rate,1.6251826756106702,1.577024402198668,1.6733637811474855,1.924503247246252e-36,0.9931699211428244
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Both,Rate,0.27044818041748186,0.2587169882373619,0.2821807452550118,4.154353386078076e-31,0.9852865795099903
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Female,Rate,0.30672101073889735,0.2976103565188515,0.3158324925361944,2.5389883999892344e-36,0.9930506271988554
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Male,Rate,0.27485626445113986,0.26002683004535676,0.2896878922747037,3.9656936799445024e-28,0.9774132933858019
Eastern Sub-Saharan Africa,Deaths,Diabetes mellitus,Both,Rate,0.055038973678844805,-0.009915512793634562,0.12003565518829973,0.09401022607632811,0.05656985056477426
Eastern Sub-Saharan Africa,Deaths,Diabetes mellitus,Female,Rate,-0.19304734932589218,-0.239117049081794,-0.14695637452537547,9.646321059361238e-10,0.6847514152771246
Eastern Sub-Saharan Africa,Deaths,Diabetes mellitus,Male,Rate,0.2784377641133373,0.19890009243712647,0.3580385726224655,4.2229670183447374e-8,0.6021602320403334
Eastern Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Both,Rate,-1.9368716233661432,-1.994353655293224,-1.879355877218325,3.56888036966442e-36,0.9929011875588656
Eastern Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Female,Rate,-2.2369963196948506,-2.2889451707414965,-2.185019849632841,1.5233643347781627e-39,0.9956286895494245
Eastern Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Male,Rate,-1.7544891021385456,-1.8223536115631656,-1.6865776819169231,1.5489181878635271e-32,0.9880196850699
Eastern Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Both,Rate,0.10157171617599658,0.03411434722440099,0.16907457457544517,0.00436820171441291,0.20309058471318564
Eastern Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Female,Rate,-0.1505462825461379,-0.1981701277869119,-0.10289971196416614,3.120254933217307e-7,0.5502819386557873
Eastern Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Male,Rate,0.32923412071019786,0.24641383126584593,0.4121228335532745,2.938282118046938e-9,0.6623322168693071
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Both,Rate,-0.02807126108684832,-0.07103386962236113,0.01490981842664496,0.19277885741984663,0.022802992831127966
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Female,Rate,-0.16257936497515724,-0.19386018753778655,-0.1312887385080619,5.6525896921134735e-12,0.7706146289447258
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Male,Rate,0.10053786934576259,0.044714326308703534,0.1563925611344219,8.779216124028097e-4,0.2741500932189842
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Both,Rate,-1.9992019024546948,-2.0694759708541732,-1.9288774060120972,7.787115704925716e-34,0.9900613352964297
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Female,Rate,-2.2405260920904557,-2.3023793392863645,-2.178633685044362,3.7601953905461315e-37,0.993832421180771
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Male,Rate,-1.8580974891140412,-1.9381225594284457,-1.7780071129739006,4.706231509207122e-31,0.9851714796636296
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Both,Rate,0.0719519641255717,0.02359022233455743,0.12033708898118167,0.004800114755757589,0.19876141096513866
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Female,Rate,-0.0720561229950345,-0.10642424292724995,-0.03767617880224838,1.6385989588970908e-4,0.34287647829966406
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Male,Rate,0.2100105043290723,0.14709973698219247,0.27296079118932504,1.0799846342003415e-7,0.5785687051020902
Eastern Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus,Both,Rate,-0.18492645271662722,-0.242771748563253,-0.12704761465648362,2.54383850531977e-7,0.5558660050511398
Eastern Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus,Female,Rate,-0.40454238736553627,-0.4476537751796017,-0.3614123300591965,4.871150657487621e-19,0.9166044237391265
Eastern Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus,Male,Rate,9.83732328241338e-4,-0.07236522994658046,0.07438653426692365,0.9783830397422435,-0.031225966940371164
Eastern Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 1,Both,Rate,-2.1124538647273927,-2.181132684895737,-2.043726825023595,6.664675313971819e-35,0.9914764430946772
