location_name,measure_name,cause_name,sex_name,selected_model,year,forecast,lower_95,upper_95
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Both,ARIMA,2024,1363.0629474513953,1348.7496707971527,1377.376224105638
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Both,ARIMA,2025,1359.5331030503635,1338.1359751702294,1380.9302309304976
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Both,ARIMA,2026,1344.0594115703498,1310.0883690106916,1378.030454130008
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Both,ARIMA,2027,1339.7977099051209,1295.3282318052943,1384.2671880049475
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Both,ARIMA,2028,1328.1849013155595,1270.6552588699767,1385.7145437611423
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Both,ARIMA,2029,1323.8257026504716,1254.306136486822,1393.3452688141213
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Both,ARIMA,2030,1314.981349114806,1232.2080640116608,1397.7546342179514
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Female,ARIMA,2024,1037.3335731402437,1018.9511698834395,1055.715976397048
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Female,ARIMA,2025,1040.4639257397876,1014.4672817450037,1066.4605697345714
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Female,ARIMA,2026,1043.5942783393314,1011.7550219333268,1075.433534745336
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Female,ARIMA,2027,1046.7246309388752,1009.9598244252667,1083.4894374524836
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Female,ARIMA,2028,1049.854983538419,1008.7506802663912,1090.9592868104469
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Female,ARIMA,2029,1052.9853361379628,1007.9578279127168,1098.0128443632088
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Female,ARIMA,2030,1056.1156887375064,1007.4804212202986,1104.750956254714
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Male,ETS,2024,1797.1624544304068,1778.5931337501825,1815.7317751106311
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Male,ETS,2025,1793.3460809845694,1765.8233050146837,1820.8688569544552
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Male,ETS,2026,1789.5297075387323,1748.4671986115486,1830.592216465916
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Male,ETS,2027,1785.713334092895,1727.9585583725798,1843.46810981321
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Male,ETS,2028,1781.8969606470578,1705.0202205103656,1858.77370078375
