location_name,measure_name,cause_name,sex_name,metric_name,value_1990,value_2023,lower_1990,lower_2023,upper_1990,upper_2023,absolute_change,relative_change_pct
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus,Both,Number,1501195.27910755,5330110.66475027,1352012.95642679,4867079.90209971,1654093.67550859,5820923.8080855,3828915.3856427195,255.05778221731305
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus,Female,Number,692998.514453896,2420484.91188067,621146.027931708,2208184.06784317,764185.356668038,2645049.8371692,1727486.3974267743,249.27707078680913
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus,Male,Number,808196.764653652,2909625.75286961,726519.256029907,2647375.51458862,891516.691221336,3168601.4457114,2101428.9882159582,260.01452617995983
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Both,Number,6186.39054320963,21679.7269298532,4299.31211931118,16869.970555133,8138.86958845752,29711.2994501386,15493.336386643572,250.44226158093957
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Female,Number,3168.65769797828,10927.6956565902,2195.05247572144,8519.00312356041,4193.54726189579,14922.6162568069,7759.03795861192,244.86829118722642
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Male,Number,3017.73284523136,10752.031273263,2103.80314237257,8367.93238597201,3973.14850768836,14785.4415522176,7734.29842803164,256.2950010718618
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Both,Number,1495008.88856434,5308430.93782043,1345321.26531144,4844388.25240489,1647364.63053157,5798896.47429142,3813422.04925609,255.07688137681419
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Female,Number,689829.856755918,2409557.21622408,617332.684086691,2196406.99790681,761013.852072171,2634120.93281842,1719727.359468162,249.29732203177917
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Male,Number,805179.03180842,2898873.72159635,723389.065265479,2636333.20742732,888517.218275547,3158129.15624411,2093694.6897879299,260.0284665989778
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Both,Number,84673.7902282928,288842.404575927,76384.4431568891,264106.171598303,92036.8367748845,314890.965518874,204168.6143476342,241.12374537287872
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Female,Number,37934.9109999686,126613.293851114,34439.0971506716,115416.294152818,41674.6139353105,138946.267937298,88678.3828511454,233.76457335360246
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Male,Number,46738.8792283242,162229.110724813,41903.2864151015,146798.858247635,51053.4928561517,175446.764781162,115490.23149648882,247.0967070740127
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Both,Number,329.805868203968,1202.22794023181,254.967450399715,715.311525057735,413.731261796698,2667.84361860109,872.422072027842,264.5259396925872
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Female,Number,166.065718295391,596.457462155131,128.501367816407,354.767768855088,208.445274838965,1293.29854904734,430.39174385974,259.169531362383
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Male,Number,163.740149908577,605.770478076682,126.478684184854,360.024348110997,205.285986957732,1353.48692108707,442.03032816810503,269.95842401201486
