Measure,Type,1990 rate,2023 rate,"Change, %","APC, % (95% CI)",Model,2030 forecast (95% PI),p
Prevalence,DM,3543.53947846484,4521.41015329809,27.59587358278539,0.78 (0.76-0.79),ARIMA,4740.5 (4687.2-4793.8),<0.001
Prevalence,T1DM,16.85367360064,20.88851040712,23.940399595295236,0.69 (0.64-0.75),ETS,22.3 (22.0-22.6),<0.001
Prevalence,T2DM,3526.68580486419,4500.52164289096,27.613342722042454,0.78 (0.76-0.80),ARIMA,4718.7 (4665.6-4771.8),<0.001
Incidence,DM,189.86285444473,226.24138414478,19.16042493221861,0.57 (0.54-0.60),ARIMA,237.4 (227.3-247.4),<0.001
Incidence,T1DM,0.63147199439,0.89914699701,42.38905367110908,1.11 (1.05-1.16),ARIMA,1.0 (0.9-1.0),<0.001
Incidence,T2DM,189.23138245034,225.34223714777,19.08291015466559,0.57 (0.54-0.60),ARIMA,236.3 (226.3-246.3),<0.001
Deaths,DM,33.1995932912953,38.2650731329649,15.257656312909518,0.56 (0.43-0.68),ETS,36.2 (32.1-40.3),<0.001
Deaths,T1DM,0.83953165904207006,0.487490908050438,-41.93299290146136,-1.64 (-1.68--1.59),ARIMA,0.4 (0.4-0.4),<0.001
Deaths,T2DM,32.3600616322532,37.7775822249144,16.741379093238717,0.60 (0.47-0.72),ETS,35.8 (31.5-40.0),<0.001
DALYs,DM,1115.4022666798,1275.76401690237,14.377032843936766,0.50 (0.41-0.58),ETS,1245.3 (1150.6-1340.0),<0.001
DALYs,T1DM,59.2809397880674,34.0742213453133,-42.52078076506463,-1.69 (-1.73--1.65),ETS,29.3 (26.0-32.6),<0.001
DALYs,T2DM,1056.12132689173,1241.68979555706,17.570752899335584,0.58 (0.50-0.67),ETS,1215.9 (1120.9-1310.9),<0.001
