location_name,measure_name,cause_name,year,Male,Female,male_to_female_rate_ratio
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus,1990,5674.54793397136,4411.64833613247,1.2862647930242843
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus,2023,7095.81811792263,5461.86435405227,1.2991567819984575
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,1990,14.46609552197,14.52182124072,0.9961626219035296
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,2023,17.61681674687,17.60221293593,1.0008296576682236
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,1990,5660.08183844938,4397.12651489174,1.2872228759578308
Central Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,2023,7078.20130117575,5444.26214111634,1.300121323644488
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,1990,280.65681935075,207.23717621529,1.3542783417353046
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,2023,328.18186223448,244.53690794191,1.3420545184632822
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,1990,0.55051640353,0.55213855448,0.9970620581793499
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,2023,0.70759655467,0.70035974726,1.0103329859237518
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,1990,280.10630294722,206.68503766081,1.3552326095655813
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,2023,327.4742656798,243.83654819464,1.3430073059367502
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,1990,39.8833309422754,22.3858399069663,1.7816320990423957
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,2023,48.1928844841263,23.4017128957168,2.0593742303772564
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,1990,1.25976872575277,0.57025381360314,2.2091368715150552
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,2023,0.852025374254288,0.378335729242424,2.252035185681183
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,1990,38.6235622165226,21.8155860933632,1.7704572341640075
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,2023,47.340859109872,23.0233771664743,2.0562082950544642
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,1990,1516.16777060973,930.901584755994,1.6287089800230008
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,2023,1804.4075803399,1034.2032205407,1.7447321227606731
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,1990,83.9498963518521,36.4455940597525,2.3034305933994754
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,2023,54.7213484294262,23.6799976375385,2.31086798516735
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,1990,1432.21787425787,894.455990696242,1.601216705075714
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,2023,1749.68623191048,1010.52322290316,1.7314656331041638
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus,1990,994.760394168805,533.031670378658,1.8662313131640782
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus,2023,1154.41093305682,541.998400496322,2.1299157562083137
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 1,1990,82.76046665975,35.2749539051327,2.3461537861204094
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 1,2023,53.3277270890749,22.2872177511927,2.392749408401193
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 2,1990,911.999927509055,497.756716473525,1.8322202339535143
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 2,2023,1101.08320596774,519.711182745129,2.1186444366114805
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus,1990,521.40738999751,397.86992472195,1.31049711878045
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus,2023,649.99666418299,492.20483284169,1.3205816375883723
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 1,1990,1.18942972303,1.17064018506,1.016050651779938
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 1,2023,1.39362137659,1.39277992256,1.0006041543364967
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 2,1990,520.21796027448,396.69928453689,1.3113660159024152
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 2,2023,648.60304280641,490.81205291914,1.3214896393615372
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus,1990,2911.99187226884,2534.16799165194,1.1490918841456161
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus,2023,3351.92909976125,2963.16391193016,1.131199352916611
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,1990,23.33893648153,24.13115684556,0.9671702285514022
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,2023,30.89062442955,31.86990386368,0.9692725952886849
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,1990,2888.65293578731,2510.03683480638,1.1508408544969166
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,2023,3321.0384753317,2931.29400806648,1.1329598689836986
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus,1990,178.76538134048,140.13637448919,1.2756529629947706
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus,2023,194.53919087484,154.8277927757,1.2564875297077323
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,1990,0.86880478848,0.89648867851,0.9691196434560537
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,2023,1.44172638635,1.461326067,0.9865877430830775
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,1990,177.896576552,139.23988581068,1.2776265616439837
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,2023,193.0974644885,153.3664667087,1.2590592235215536
Eastern Sub-Saharan Africa,Deaths,Diabetes mellitus,1990,41.6348294331602,32.239005150734,1.2914427488843363
Eastern Sub-Saharan Africa,Deaths,Diabetes mellitus,2023,44.5854961597982,29.045592984283,1.535017590583331
Eastern Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,1990,1.38251650415232,0.870973118801425,1.5873239647795867
Eastern Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,2023,0.798274832889983,0.431979006688149,1.8479482116737853
Eastern Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,1990,40.2523129290079,31.3680320319326,1.2832272323629075
Eastern Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,2023,43.7872213269082,28.6136139775948,1.5302932849095794
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,1990,1318.43504415987,1014.80541565046,1.2991998503622415
