Region,Measure,Year,Rate ratio vs SSA
Central SSA,Deaths,1990,0.9202630706195674
Central SSA,DALYs,1990,1.0823183047485667
Central SSA,YLDs,1990,1.3895773010439434
Central SSA,YLLs,1990,0.9541946537474246
Central SSA,Prevalence,1990,1.4137293599363512
Central SSA,Incidence,1990,1.2749906678474001
Central SSA,Deaths,2023,0.8860135457019486
Central SSA,DALYs,2023,1.0848503741342503
Central SSA,YLDs,2023,1.3532602221760928
Central SSA,YLLs,2023,0.9544772936404156
Central SSA,Prevalence,2023,1.375045977955593
Central SSA,Incidence,2023,1.258227366163539
Eastern SSA,Deaths,1990,1.1064615467011945
Eastern SSA,DALYs,1990,1.0432853521225987
Eastern SSA,YLDs,1990,0.8082561212172332
Eastern SSA,YLLs,1990,1.1412899785734356
Eastern SSA,Prevalence,1990,0.7668546921028758
Eastern SSA,Incidence,1990,0.8412209988989936
Eastern SSA,Deaths,2023,0.94757748741644
Eastern SSA,DALYs,2023,0.8896335752954027
Eastern SSA,YLDs,2023,0.7359144366889568
Eastern SSA,YLLs,2023,0.9642986361237832
Eastern SSA,Prevalence,2023,0.6950955722222218
Eastern SSA,Incidence,2023,0.7682872721049893
Southern SSA,Deaths,1990,1.2096067067869734
Southern SSA,DALYs,1990,1.2479080797082154
Southern SSA,YLDs,1990,1.4974252632475162
Southern SSA,YLLs,1990,1.1438621349904787
Southern SSA,Prevalence,1990,1.4649268987668895
Southern SSA,Incidence,1990,1.5214064641467198
Southern SSA,Deaths,2023,1.6468172910355117
Southern SSA,DALYs,2023,1.571870559302169
Southern SSA,YLDs,2023,1.5021833806611498
Southern SSA,YLLs,2023,1.6057192880900102
Southern SSA,Prevalence,2023,1.4656132592550082
Southern SSA,Incidence,2023,1.5876783481746908
Western SSA,Deaths,1990,0.8502202644938127
Western SSA,DALYs,1990,0.8537419688526947
Western SSA,YLDs,1990,0.9070140464684378
Western SSA,YLLs,1990,0.8315280933833379
Western SSA,Prevalence,1990,0.9495273137877206
Western SSA,Incidence,1990,0.9095758209542891
Western SSA,Deaths,2023,0.8529823899101768
Western SSA,DALYs,2023,0.88015196707761445
Western SSA,YLDs,2023,0.9747576917779419
Western SSA,YLLs,2023,0.8341997047015719
Western SSA,Prevalence,2023,1.0182614732280528
Western SSA,Incidence,2023,0.9636469255756197
