location_name,sex_name,cause_name,measure_name,count_1990_reconstructed,count_2023_reconstructed,observed_change,population_size_effect,age_structure_effect,age_specific_rate_effect,decomposition_error,population_size_pct,age_structure_pct,age_specific_rate_pct
Central Sub-Saharan Africa,Both,Diabetes mellitus,DALYs (Disability-Adjusted Life Years),344341.5301737564,1063183.1423454697,718841.6121717133,615032.3759152051,25954.107307773917,77855.1289487343,0,85.55881650439142,3.6105460324372722,10.830637463171325
Central Sub-Saharan Africa,Both,Diabetes mellitus,Deaths,6571.037473438229,19897.966972544025,13326.929499105796,11631.429224335536,636.479050311876,1059.0212244583856,1.8189894035458565e-12,87.27763754671302,4.7758866763314245,7.94647577695555
Central Sub-Saharan Africa,Both,Diabetes mellitus,Incidence,84673.79022829213,288842.404575924,204168.61434763187,159724.3130785948,8286.926926215083,36157.37434282197,0,78.23157030719567,4.058864264075955,17.70956542872837
Central Sub-Saharan Africa,Both,Diabetes mellitus,Prevalence,1501195.2791075483,5330110.664750272,3828915.385642724,2896403.4819301874,174545.86705130295,757966.0366612336,0,75.64553379243702,4.5586242962118515,19.795841911351115
Central Sub-Saharan Africa,Both,Diabetes mellitus,YLDs (Years Lived with Disability),127191.12295424157,448959.9635664296,321768.84061218804,244596.96442474215,14019.077738102133,63152.79844934376,0,76.01636129818509,4.356878593784856,19.626760108030062
Central Sub-Saharan Africa,Both,Diabetes mellitus,YLLs (Years of Life Lost),217150.40721951303,614223.1787790374,397072.7715595244,370840.1185931889,11528.83292906064,14703.820037274874,-5.820766091346741e-11,93.39348984738858,2.903455929194172,3.7030542234172446
Central Sub-Saharan Africa,Both,Diabetes mellitus type 1,DALYs (Disability-Adjusted Life Years),41302.21480030825,65274.953914187034,23972.739113878786,54256.83187160292,-1402.2662093092197,-28881.826548414905,3.637978807091713e-12,226.3272111453941,-5.849420054370804,-120.47779109102326
Central Sub-Saharan Africa,Both,Diabetes mellitus type 1,Deaths,565.0347280234096,934.3973317500402,369.3626037266306,756.9740651521516,-7.71098331187316,-379.900478113648,-1.1368683772161603e-13,204.94063489773225,-2.087645915984539,-102.85298898174776
Central Sub-Saharan Africa,Both,Diabetes mellitus type 1,Incidence,329.8058682048748,1202.2279402337217,872.422072028847,648.0677899062365,5.296686288930867,219.05759583367947,-1.1368683772161603e-13,74.28374529763248,0.6071242875152442,25.109130414852256
Central Sub-Saharan Africa,Both,Diabetes mellitus type 1,Prevalence,6186.390543207821,21679.726929849206,15493.336386641386,11856.526980391005,680.05175826704,2956.7576479833406,0,76.52662205549156,4.3893177124417955,19.084060232066648
Central Sub-Saharan Africa,Both,Diabetes mellitus type 1,YLDs (Years Lived with Disability),442.7640899770496,1515.4403110494293,1072.6762210723796,837.395088877748,52.36831466628369,182.91281752834809,2.2737367544323206e-13,78.0659692484452,4.882024383269152,17.052006368285657
Central Sub-Saharan Africa,Both,Diabetes mellitus type 1,YLLs (Years of Life Lost),40859.45071033119,63759.5136031381,22900.062892806905,53480.89231823827,-1511.4114676709578,-29069.417957760397,1.0913936421275139e-11,233.54037309232478,-6.600031950766844,-126.9403411415579
Central Sub-Saharan Africa,Both,Diabetes mellitus type 2,DALYs (Disability-Adjusted Life Years),303039.3153734482,997908.1884312823,694868.8730578341,560775.5440436021,27356.37351708308,106736.95549714891,0,80.70235490271105,3.93691163581682,15.360733461472114
Central Sub-Saharan Africa,Both,Diabetes mellitus type 2,Deaths,6006.002745414819,18963.56964079396,12957.566895379143,11531.934950929603,-25.0355416432047,1450.6674860927444,0,88.99768794589097,-0.19321174912963587,11.19552380323866
Central Sub-Saharan Africa,Both,Diabetes mellitus type 2,Incidence,84343.98436008747,287640.17663569155,203296.19227560406,159076.24528868916,8281.63023992622,35938.31674698871,2.9103830456733704e-11,78.24851194115485,4.073677006551604,17.677811052293563
Central Sub-Saharan Africa,Both,Diabetes mellitus type 2,Prevalence,1495008.8885643384,5308430.937820427,3813422.0492560887,2884546.9549497957,173865.81529303532,755009.2790132575,0,75.6419540688528,4.559312162338616,19.79873376880858
Central Sub-Saharan Africa,Both,Diabetes mellitus type 2,YLDs (Years Lived with Disability),126748.35886426456,447444.52325537946,320696.1643911149,243759.56933586425,13966.709423435852,62969.885631814774,-5.820766091346741e-11,76.00950569479832,4.35512206700493,19.635372238196748
Central Sub-Saharan Africa,Both,Diabetes mellitus type 2,YLLs (Years of Life Lost),176290.95650918203,550463.6651758999,374172.70866671787,336615.01668759465,-6579.859381826837,44137.55136094998,-5.820766091346741e-11,89.96247157817795,-1.7585086323566246,11.796037054178655
Central Sub-Saharan Africa,Female,Diabetes mellitus,DALYs (Disability-Adjusted Life Years),135845.35435967328,413843.51842954295,277998.1640698697,239220.8042611562,14240.18015555659,24537.17965315684,0,86.05121730265546,5.12240079109932,8.826381906245206
Central Sub-Saharan Africa,Female,Diabetes mellitus,Deaths,2464.5836927230375,7387.056021975034,4922.472329251997,4303.918243900886,536.7524691722139,81.80161617889719,9.094947017729282e-13,87.43407694391034,10.904123644993188,1.6617994110964867
Central Sub-Saharan Africa,Female,Diabetes mellitus,Incidence,37934.91099996748,126613.29385111146,88678.38285114398,70244.61984176397,2950.500482170754,15483.262527209265,1.4551915228366852e-11,79.21278848722012,3.327192476122936,17.46001903665694
Central Sub-Saharan Africa,Female,Diabetes mellitus,Prevalence,692998.5144538959,2420484.9118806673,1727486.3974267715,1315900.1431366268,79775.8816354376,331810.3726547071,0,76.17426945281682,4.61803240559637,19.20769814158682
Central Sub-Saharan Africa,Female,Diabetes mellitus,YLDs (Years Lived with Disability),58593.218881725035,204232.87570602653,145639.6568243015,111131.47146553833,6663.54665683841,27844.638701924752,0,76.30577679787206,4.5753655303357785,19.118857671792167
Central Sub-Saharan Africa,Female,Diabetes mellitus,YLLs (Years of Life Lost),77252.13547794767,209610.64272351237,132358.50724556472,128224.04561115417,7442.616209044645,-3308.154574634129,-2.9103830456733704e-11,96.87631590862544,5.623073547691468,-2.4993894563169334
Central Sub-Saharan Africa,Female,Diabetes mellitus type 1,DALYs (Disability-Adjusted Life Years),12035.63023109401,18973.464883503086,6937.834652409076,15678.748978909132,-154.6444859915065,-8586.269840508552,-1.8189894035458565e-12,225.98908397831138,-2.2290021849657107,-123.76008179334568
Central Sub-Saharan Africa,Female,Diabetes mellitus type 1,Deaths,167.33298119553902,274.89722236262975,107.56424116709073,221.9951934509452,1.256459532004257,-115.68741181585877,-4.263256414560601e-14,206.38382332479526,1.1681015162394608,-107.55192484103473
Central Sub-Saharan Africa,Female,Diabetes mellitus type 1,Incidence,166.06571829539084,596.4574621551313,430.3917438597405,321.30961223251535,2.808150571043621,106.27398105618154,0,74.65515238536413,0.6524638567320575,24.692383757903816
Central Sub-Saharan Africa,Female,Diabetes mellitus type 1,Prevalence,3168.6576979775296,10927.695656587419,7759.03795860989,5976.344512246447,308.22828343856213,1474.46516292488,0,77.02429791073183,3.9725064509645,19.003195638303662
Central Sub-Saharan Africa,Female,Diabetes mellitus type 1,YLDs (Years Lived with Disability),227.33957988320492,772.687181517076,545.3476016338711,425.2696619145991,23.389636013244502,96.6883037060275,0,77.98139400273948,4.288940841248542,17.729665156011983
Central Sub-Saharan Africa,Female,Diabetes mellitus type 1,YLLs (Years of Life Lost),11808.290651210966,18200.77770198536,6392.487050774394,15270.354610162749,-193.59475007575384,-8684.2728093126,0,238.87971127470456,-3.0284730893948626,-135.85123818530968
Central Sub-Saharan Africa,Female,Diabetes mellitus type 2,DALYs (Disability-Adjusted Life Years),123809.72412857918,394870.05354603956,271060.32941746037,223542.055282247,14394.824641547888,33123.44949366552,5.820766091346741e-11,82.4694841043927,5.31056118484177,12.219954710765533
Central Sub-Saharan Africa,Female,Diabetes mellitus type 2,Deaths,2297.250711527499,7112.158799612399,4814.9080880849,4308.157248794582,308.26946776244495,198.48137152787285,0,89.4753787607216,6.402395686956036,4.122225552322383
Central Sub-Saharan Africa,Female,Diabetes mellitus type 2,Incidence,37768.845281672104,126016.83638895626,88247.99110728415,69923.31022953143,2947.692331599688,15376.988546153036,0,79.23501640340437,3.340237318282002,17.424746278313627
Central Sub-Saharan Africa,Female,Diabetes mellitus type 2,Prevalence,689829.856755918,2409557.216224075,1719727.359468157,1309923.7986243784,79467.65335199893,330335.9074917796,0,76.1704343082316,4.6209448791100884,19.20862081265831
Central Sub-Saharan Africa,Female,Diabetes mellitus type 2,YLDs (Years Lived with Disability),58365.87930184158,203460.18852451,145094.30922266844,110706.20180362371,6640.157020825194,27747.950398219535,0,76.29947886772655,4.576442078534522,19.124079053738935
Central Sub-Saharan Africa,Female,Diabetes mellitus type 2,YLLs (Years of Life Lost),65443.84482673679,191409.86502152722,125966.02019479043,119300.2616771339,1254.4047947944466,5411.3537228621035,1.4551915228366852e-11,94.70828838813135,0.9958279168101597,4.295883695058503
Central Sub-Saharan Africa,Male,Diabetes mellitus,DALYs (Disability-Adjusted Life Years),208496.17581408448,649339.6239159242,440843.44810183975,376838.0918863425,10444.609667682385,53560.74654781486,0,85.48115969714688,2.369233276042602,12.149607026810509
Central Sub-Saharan Africa,Male,Diabetes mellitus,Deaths,4106.453780715211,12510.910950568961,8404.457169853751,7355.162480582022,-65.706354206995,1115.001043478723,0,87.51502127900083,-0.78180366535365875,13.266782386352807
Central Sub-Saharan Africa,Male,Diabetes mellitus,Incidence,46738.879228323756,162229.11072481112,115490.23149648737,89595.87186994239,5444.665002006917,20449.694624538053,0,77.57874472064545,4.714394396354221,17.706860883000335
Central Sub-Saharan Africa,Male,Diabetes mellitus,Prevalence,808196.7646536523,2909625.7528696116,2101428.988215959,1582037.7707505748,93174.2650737769,426216.9523916075,0,75.28390345912523,4.433852659131663,20.28224388174311
Central Sub-Saharan Africa,Male,Diabetes mellitus,YLDs (Years Lived with Disability),68597.90407251674,244727.0878603995,176129.18378788276,133592.6045924768,7140.683563366455,35395.8956320395,-2.9103830456733704e-11,75.84921574005934,4.0542307695958995,20.096553490344764
Central Sub-Saharan Africa,Male,Diabetes mellitus,YLLs (Years of Life Lost),139898.27174156692,404612.53605552233,264714.26431395544,243521.51258686613,3025.4476442732557,18167.304082816045,0,91.99410285576664,1.1429106973566885,6.862986446876669
Central Sub-Saharan Africa,Male,Diabetes mellitus type 1,DALYs (Disability-Adjusted Life Years),29266.58456921574,46301.489030681485,17034.904461465743,38761.68835648588,-1312.6536964874074,-20414.130198532734,-7.275957614183426e-12,227.54273993240045,-7.7056710206783405,-119.83706891172216
Central Sub-Saharan Africa,Male,Diabetes mellitus type 1,Deaths,397.7017468278875,659.5001093873833,261.7983625594958,537.4955420356363,-9.583549187006824,-266.1136302891337,-5.684341886080802e-14,205.30897778762312,-3.660660476754848,-101.64831731086831
Central Sub-Saharan Africa,Male,Diabetes mellitus type 1,Incidence,163.7401499085878,605.7704780766164,442.03032816802863,326.78200539475216,2.4599197958938626,112.78840297738259,0,73.92750781356631,0.5565047552481004,25.51598743118559
Central Sub-Saharan Africa,Male,Diabetes mellitus type 1,Prevalence,3017.7328452306056,10752.031273260669,7734.298428030063,5879.073222732662,372.8870037242114,1482.3382015731897,-9.094947017729282e-13,76.01301239458469,4.821213031718847,19.165774573696446
Central Sub-Saharan Africa,Male,Diabetes mellitus type 1,YLDs (Years Lived with Disability),215.42451009400406,742.7531295310624,527.3286194370584,412.0313987970858,29.226884069024475,86.07033657094813,0,78.13560341878346,5.54244222515842,16.321954356058125
Central Sub-Saharan Africa,Male,Diabetes mellitus type 1,YLLs (Years of Life Lost),29051.160059121703,45558.73590115026,16507.57584202856,38395.48861423078,-1384.2244456349697,-20503.688326567248,0,232.59313773058813,-8.385388980680686,-124.20774874990742
Central Sub-Saharan Africa,Male,Diabetes mellitus type 2,DALYs (Disability-Adjusted Life Years),179229.59124486858,603038.1348852428,423808.5436403742,338076.4035298566,11757.263364169849,73974.87674634776,0,79.77102127906457,2.7741921536500596,17.45478656728536
Central Sub-Saharan Africa,Male,Diabetes mellitus type 2,Deaths,3708.7520338873237,11851.410841181585,8142.658807294261,7266.8753919197625,-518.7948394322156,1394.5782548067145,0,89.24450310272161,-6.371319881013249,17.12681677829163
Central Sub-Saharan Africa,Male,Diabetes mellitus type 2,Incidence,46575.13907841517,161623.3402467345,115048.20116831933,89269.08986454766,5442.205082211019,20336.906221560657,0,77.59277325331148,4.730369555495172,17.67685719119336
Central Sub-Saharan Africa,Male,Diabetes mellitus type 2,Prevalence,805179.0318084201,2898873.721596347,2093694.689787927,1576158.6975278398,92801.37807005219,424734.6141900351,0,75.28121006446699,4.4324217147177345,20.28636822081528
Central Sub-Saharan Africa,Male,Diabetes mellitus type 2,YLDs (Years Lived with Disability),68382.4795624227,243984.33473086872,175601.85516844603,133180.57319367974,7111.4566792975065,35309.825295468785,0,75.84234976670737,4.049761702389672,20.107888530902958
Central Sub-Saharan Africa,Male,Diabetes mellitus type 2,YLLs (Years of Life Lost),110847.1116824452,359053.80015437194,248206.68847192673,218568.1466592975,-9398.370503865204,39036.912316494476,2.9103830456733704e-11,88.05892701961515,-3.7865097680186817,15.727582748403545
