location_name,year,yll_count,yld_count,yll_to_yld_ratio
Central Sub-Saharan Africa,1990,217150.407219515,127191.122954243,1.7072764370327547
Central Sub-Saharan Africa,1991,224365.881520291,131710.028396867,1.7034836621873206
Central Sub-Saharan Africa,1992,229654.537918414,136461.974933708,1.6829196413871197
Central Sub-Saharan Africa,1993,234299.211457485,141306.604453265,1.6580910167930325
Central Sub-Saharan Africa,1994,238291.494514924,146323.251312296,1.6285278817810116
Central Sub-Saharan Africa,1995,243077.399568688,151323.506027245,1.6063426360536692
Central Sub-Saharan Africa,1996,247309.866052089,156631.889343507,1.5789241072724183
Central Sub-Saharan Africa,1997,249186.265212455,162236.164387983,1.5359477102561017
Central Sub-Saharan Africa,1998,256992.37635469,168098.751084144,1.5288178805448065
Central Sub-Saharan Africa,1999,265174.744769597,174293.836643824,1.5214235332457082
Central Sub-Saharan Africa,2000,272757.867973873,180555.865271544,1.510656369781526
Central Sub-Saharan Africa,2001,280265.124889284,187678.176478028,1.4933282609024892
Central Sub-Saharan Africa,2002,288500.958187956,195355.875421428,1.4767969356723591
Central Sub-Saharan Africa,2003,299369.148579866,203584.929705493,1.4704877665205127
Central Sub-Saharan Africa,2004,308506.806203922,212192.3824295,1.4539014203604697
Central Sub-Saharan Africa,2005,318280.878343569,220467.250805696,1.443665112076346
Central Sub-Saharan Africa,2006,332542.373111181,229038.281569321,1.4519073878509403
Central Sub-Saharan Africa,2007,345407.7442861,238286.624834222,1.4495473446166063
Central Sub-Saharan Africa,2008,360475.046734363,247611.9495267,1.455806343043606
Central Sub-Saharan Africa,2009,376454.60314771,257413.890817193,1.462448673428645
Central Sub-Saharan Africa,2010,393334.907692959,267215.624509887,1.4719757065642902
Central Sub-Saharan Africa,2011,411513.053841898,277289.00196031,1.484058332399351
Central Sub-Saharan Africa,2012,430193.324911957,288123.162992435,1.4930883044736403
Central Sub-Saharan Africa,2013,452649.054246406,299230.189865775,1.5127118505303552
Central Sub-Saharan Africa,2014,473956.228961978,310798.606111113,1.5249625308568304
Central Sub-Saharan Africa,2015,488629.483410772,322946.299470734,1.5130363289858737
Central Sub-Saharan Africa,2016,505505.929795561,336134.202711353,1.5038812644414286
Central Sub-Saharan Africa,2017,522743.826278517,350956.080209415,1.4894850260653598
Central Sub-Saharan Africa,2018,541900.765927594,366633.479591241,1.478044957955717
Central Sub-Saharan Africa,2019,561961.595849569,383090.524155841,1.4669159387011184
Central Sub-Saharan Africa,2020,573433.495304015,397939.219599169,1.4410077395276988
Central Sub-Saharan Africa,2021,600305.400248791,414087.619712542,1.4497062256184348
Central Sub-Saharan Africa,2022,595156.317822903,432059.183549176,1.3774879472158323
